id,name,href,profile_src,description
1,Bitonic,https://www.bitonic.nl/,assets/images/logos/bitonic-white.png,
2,KR1,https://www.kryptonite1.co/,assets/images/logos/kr1_med.png,
3,TMGOX,https://www.tmgox.com/,assets/images/logos/tmgox-logo.jpg,
4,GPU.one,https://gpu.one/,assets/images/logos/gpuOne-white.png,
5,Mega Pool,https://www.megapool.info,assets/images/logos/Mega-Pool-Logo-trans.png,
6,BlockCypher,https://www.blockcypher.com,assets/images/logos/blockcypher_logo_white.svg,
7,Kyokan,https://kyokan.io,assets/images/logos/kyokan_teal_white.png,
8,Innosilicon,http://innosilicon.com,assets/images/logos/Innosilicon.png,
9,Galleon,https://galleon.exchange,assets/images/logos/galleon.png,
10,Luxor,https://mining.luxor.tech,assets/images/logos/luxor_logo.png,
11,Beam,https://beam-mw.com,assets/images/logos/beam_logo.png,
12,Continue Capital,https://continue.capital,assets/images/logos/continuecapital.png,
13,Cypher Capital,http://cyphercapital.net,assets/images/logos/cypher_capital.png,
14,HashRabbit,https://hashrabbit.co,assets/images/logos/hashrabbit.png,
15,Lemniscap,https://lemniscap.com,assets/images/logos/lemniscap.png,
16,Chance Ventures,#,assets/images/logos/chanceventures.png,
17,Wings,https://www.wings.ai,assets/images/logos/wingsai-grey.png,
18,CGS Group,https://www.cgs.group,assets/images/logos/cgs-logo-white.svg,
19,CoinGecko,https://www.coingecko.com/en/coins/grin,assets/images/logos/CoinGecko-WhiteText-small.png,
20,Outliers,https://hashoutliers.com,assets/images/logos/Outliers-256x.png,
21,Blue Helix Exchange (BHEX),https://www.bhex.com,assets/images/logos/bhex-384x.png,
22,SparkPool,https://www.sparkpool.com,assets/images/logos/Sparkpool-660x.png,
23,Qtum,https://qtum.org,assets/images/logos/qtum.png,
24,bitfish,https://bit.fish,assets/images/logos/bitfish.png,
25,bminer,https://bminer.me,assets/images/logos/bminer-white-only.png,
26,Prokapi,https://prokapi.com,assets/images/logos/prokapi-white.png,
27,Hashtag Capital,https://hashtagchain.com,assets/images/logos/hashtag-capital.png,
28,F2Pool,https://www.f2pool.com,assets/images/logos/f2pool.png,
29,Minerbabe,https://www.minerbabe.com,assets/images/logos/minerbabe-white.png,
30,Sparkpool,https://www.sparkpool.com,assets/images/logos/Sparkpool-660x.png,
